lea-number,discount,cost,no-mutate,bucket
995,80,26196,1,1
990,80,94236,1,1
98B,50,26196,1,3
980,90,141132,1,0
97D,90,13164,1,1
970,80,121716,1,0
96F,70,12432,1,3
96C,90,12432,1,1
960,90,162168,1,0
95A,50,10764,1,2
950,70,53148,1,1
94Z,50,12432,1,2
94A,25,15576,1,2
940,90,53148,1,0
93R,40,11556,1,2
93Q,50,12432,1,2
93N,20,15576,1,2
93L,90,10872,1,1
93J,90,10764,1,3
93A,90,12432,1,1
930,90,53148,1,0
92Y,40,26196,1,3
92U,40,26196,1,2
92T,40,26196,1,3
92S,20,12432,1,2
92R,50,26196,1,3
92P,40,26196,1,3
92K,40,12432,1,2
92G,50,40176,1,3
92F,20,15576,1,2
92E,40,15576,1,2
92D,20,12432,1,2
92B,40,12432,1,2
920,60,1150980,1,0
91B,90,15576,1,0
91A,60,26196,1,3
910,90,96792,1,0
90D,50,15576,1,2
90A,40,40176,1,3
900,50,213840,1,1
90,90,121716,1,0
890,90,26196,1,0
88A,70,12312,1,3
880,80,53148,1,1
87A,70,12432,1,3
870,80,40176,1,1
862,80,53148,1,1
861,60,40176,1,3
860,80,141132,1,0
850,80,96792,1,1
84B,50,26196,1,3
840,80,94236,1,1
830,90,96792,1,0
821,90,62208,1,0
820,90,121716,1,0
81B,60,15576,1,2
81A,50,26196,1,3
810,90,141132,1,0
80B,20,15576,1,2
800,80,239556,1,0
80,90,53148,1,0
79A,50,12432,1,2
790,80,180420,1,0
78B,50,12432,1,2
78A,80,12432,1,3
780,90,340416,1,0
770,90,96792,1,0
76A,40,12432,1,2
761,90,40176,1,0
760,80,126192,1,0
750,80,40176,1,1
74B,60,15576,1,3
740,80,213840,1,0
73B,50,26196,1,3
73A,70,13164,1,3
730,80,96792,1,1
720,80,40176,1,1
710,80,117564,1,1
70A,50,15576,1,2
700,80,96792,1,1
70,90,53148,1,0
69A,80,15552,1,3
690,80,40176,1,1
68C,40,12432,1,2
68A,40,26196,1,2
681,50,180420,1,1
680,60,94236,1,1
67B,90,12432,1,1
670,80,180420,1,0
66A,90,26196,1,0
660,90,40176,1,0
65G,90,11436,1,1
65F,40,15576,1,2
65D,40,12432,1,2
65C,90,15576,1,0
65A,50,15180,1,2
650,90,162168,1,0
64A,90,26196,1,0
640,90,235560,1,0
63C,80,23244,1,3
63A,70,12432,1,2
630,70,132624,1,1
62J,60,15576,1,2
62A,90,15576,1,0
620,90,62208,1,0
61X,40,15576,1,2
61W,40,12432,1,2
61V,90,15180,0,1
61U,20,15576,1,2
61T,80,15576,1,3
61Q,50,12432,1,2
61P,40,10764,1,2
61N,40,15576,1,2
61M,50,15576,1,2
61L,90,10764,1,3
61K,60,12432,1,2
61J,40,15576,1,2
610,80,58272,1,1
60Y,40,10764,1,2
60V,90,15576,1,0
60U,90,11556,1,1
60S,40,26196,1,2
60Q,40,15576,1,2
60P,80,12432,1,3
60N,90,10872,1,1
60M,40,12432,1,2
60L,90,12432,1,1
60K,40,26196,1,2
60J,40,15576,1,2
60I,40,26196,1,2
60G,50,26196,1,3
60F,20,12432,1,2
60D,50,53148,1,3
60B,90,26196,1,0
600,80,1534644,1,0
60,80,40176,1,1
590,80,91980,1,1
58B,50,26196,1,3
